Metabolite,Conc (uM),D*10^10 (m^2/s),MW(Da),Source conc,Source Diff. coeff.,Original Met name,Category,Comment,male,female,"These values were created with regexp replace in visual studio, using the pattern find: ([0-9\.]*)±[0-9\.]* Replace with: $1",
phenylalanine,55.725,8.7,165.1891,Harada et al,"Zhang et al, mouse seminal fluid",Phenylalanine,,,59.21±9.65,52.24±8.86,59.21,52.24
L-pipecolate,1.715,,129.157,Harada et al,,Pipecolate,,,2.11±3.12,1.32±1.2,2.11,1.32
proline,137.595,,115.1305,Harada et al,,Proline,,,155.23±47.99,119.96±37.02,155.23,119.96
pyruvate,62.305,,88.0621,Harada et al,,Pyruvate,,,64.06±23.41,60.55±19.7,64.06,60.55
sarcosine,2.725,,89.0932,Harada et al,,Sarcosine,,,2.98±1.6,2.47±1.45,2.98,2.47
serine,118.17,10.8,105.0926,Harada et al,"Zhang et al, mouse seminal fluid",Serine,,,114.98±22.01,121.36±41.91,114.98,121.36
succinate,9.295,,118.088,Harada et al,,Succinate,,,9.24±2.84,9.35±2.56,9.24,9.35
taurine,75.65,,125.147,Harada et al,,Taurine,,,74.1±19.23,77.2±21.94,74.1,77.2
threonate,28.965,,136.1033,Harada et al,,Threonate,,,26.53±7.48,31.4±7.73,26.53,31.4
threonine,133.9,9.9,119.1192,Harada et al,"Zhang et al, mouse seminal fluid",Threonine,,,141.83±31.89,125.97±27.92,141.83,125.97
tryptophan,50,,204.2252,Harada et al,,Tryptophan,,,54.06±9.1,45.94±7.61,54.06,45.94
tyrosine,63.655,8,181.1885,Harada et al,"Zhang et al, mouse seminal fluid",Tyrosine,,,68.22±12.7,59.09±11.78,68.22,59.09
urate,266.895,,168.1103,Harada et al,,Uric acid,,,300.27±70.44,233.52±56.66,300.27,233.52
uridine,23.77,,244.2014,Harada et al,,Uridine,,,23.86±6.57,23.68±6.52,23.86,23.68
valine,221.15,10,117.1463,Harada et al,"Zhang et al, mouse seminal fluid",Valine,,,240.22±39.93,202.08±34.67,240.22,202.08
O2,100,21.8,15.9994,Siggaard-Andersen et al,Goldstick et al,Oxygen,,"This is a special case; we are looking for free oxygen, not the oxygen bound in hemoglobin",,,,
NEFA blood pool in,11925.2201320161,0.19,271.8775808,Quehenberger et al,Chary et al (albumin),All lipids except sterols. They are converted to this metabolite mix.,Lipids,"Calculated in ""Lipids Overview"".  We use the diffusion coefficient for albumin, which is an approximation. Some may be transported by other proteins or in lipid drops. Essential fatty acids are handled as part of HAM's media.",,,,
cholesterol,3776.02482865641,0.19,386.65,Quehenberger et al,Chary et al (albumin),"Sterols, all converted to cholesterol",Sterols,"Calculated in ""Lipids Overview"".  We use the diffusion coefficient for albumin, which is an approximation. May be transported by other proteins or in lipid drops.",,,,
albumin,601.5,0.19,66500,Hoogenboezem et al,Chary et al,,Protein,"The concentration is 40 g/l, => 40*10^6/66500 uM = 601 uM",,,,
retinoate,1.0,,300.44,,,,,,,
Fe2+,20,,55.85,,,
Pi,1000,,94.97,,,,
pyridoxal,65,,167.16,,
acetate,125,,59.04,,,
acetone,10,,58.08,,
betaine,40,,117.15,,
formate,35,,46.03,,,
fructose,20,,180.16,,,
galactose,1,,180.16,,,
glycerol,75,,92.09,,,
